IDStations,Latitude,Longitude,COM_NAME,REGION
1264,46.1678524, 9.87920992,SONDRIO,LOMBARDIA
1265,45.3027835, 9.49527370,LODI,LOMBARDIA
1266,45.2334936, 9.66625038,BERTONICO,LOMBARDIA
1269,45.6497025, 9.60122334,DALMINE,LOMBARDIA
1274,46.0158283, 9.28640921,PERLEDO,LOMBARDIA
1297,45.1504689, 9.93059647,SPINADESCO,LOMBARDIA
1374,45.6012322, 9.27507266,MONZA,LOMBARDIA
1800,45.5086668,10.25637025,BRESCIA,LOMBARDIA
1801,45.5426479,10.21120522,BRESCIA,LOMBARDIA
501,45.4963164, 9.19093356,MILANO,LOMBARDIA
504,45.5347658, 9.23610792,SESTO SAN GIOVANNI,LOMBARDIA
514,45.5234257, 9.04459987,RHO,LOMBARDIA
517,45.5265509, 8.73649658,TURBIGO,LOMBARDIA
528,45.4633467, 9.19532481,MILANO,LOMBARDIA
529,45.5523258, 9.22776423,CINISELLO BALSAMO,LOMBARDIA
531,45.4836304, 9.32736003,PIOLTELLO,LOMBARDIA
539,45.4438577, 9.16794450,MILANO,LOMBARDIA
542,45.6617622, 9.15664398,MEDA,LOMBARDIA
544,45.5510419, 9.16261365,CORMANO,LOMBARDIA
545,45.2819562, 8.98856273,MOTTA VISCONTI,LOMBARDIA
546,45.4624158, 8.88021043,MAGENTA,LOMBARDIA
548,45.4704990, 9.19746036,MILANO,LOMBARDIA
551,45.5485174, 8.84732193,ARCONATE,LOMBARDIA
552,45.8369008, 8.80392613,VARESE,LOMBARDIA
554,45.6273571, 9.02640138,SARONNO,LOMBARDIA
558,45.5828943, 8.84216546,BUSTO ARSIZIO,LOMBARDIA
560,45.8169732, 8.82024071,VARESE,LOMBARDIA
561,45.8150429, 9.06697137,COMO,LOMBARDIA
564,45.8085738, 9.22177920,ERBA,LOMBARDIA
565,45.7308367, 9.12573433,CANTÙ,LOMBARDIA
569,46.1679668, 9.87014407,SONDRIO,LOMBARDIA
571,46.4695240,10.37543276,BORMIO,LOMBARDIA
572,46.1322830, 9.56617989,MORBEGNO,LOMBARDIA
573,46.1381409, 9.38468725,COLICO,LOMBARDIA
