,MUNICIPALITY_NAME,geometry
0,SQ125,POINT (8.499391206487111 45.29237794616257)
1,SQ145,POINT (8.587680256088563 45.90897241732643)
2,SQ146,POINT (8.583842232189582 45.85891981648793)
3,SQ147,POINT (8.581221711614814 45.773780816420064)
4,SQ151,POINT (8.562252732740129 45.32386404509387)
5,SQ152,POINT (8.563124534684103 45.25470641198794)
6,SQ153,POINT (8.576217652261876 45.17342466470722)
7,SQ172,POINT (8.659426260736524 45.933934362198606)
8,SQ173,POINT (8.65 45.85)
9,SQ174,POINT (8.653524400212474 45.75537680416764)
10,SQ175,POINT (8.678878805358666 45.66375615065755)
11,SQ176,POINT (8.697535793295087 45.57861748691124)
12,SQ178,POINT (8.625487795969386 45.32268247930117)
13,SQ179,POINT (8.647305060792885 45.24795189191305)
14,SQ180,POINT (8.651458053959542 45.1511811787684)
15,SQ181,POINT (8.66908307492165 45.06503007362283)
16,SQ197,POINT (8.737823300387413 46.1062487114094)
17,SQ198,POINT (8.757439769707876 46.05149849556637)
18,SQ199,POINT (8.749560761194473 45.949459505197936)
19,SQ200,POINT (8.741499981280835 45.85509107719996)
20,SQ201,POINT (8.749812361779947 45.74975737617534)
21,SQ202,POINT (8.751224739505671 45.65339532778343)
22,SQ203,POINT (8.756926251190004 45.55544367955108)
23,SQ204,POINT (8.784335912349503 45.48709784275563)
24,SQ205,POINT (8.763406530069688 45.33925213712145)
25,SQ206,POINT (8.742428509331505 45.23996690450274)
26,SQ207,POINT (8.75 45.15)
27,SQ208,POINT (8.751626508345181 45.06022895513799)
28,SQ224,POINT (8.80655510059327 46.100434556252495)
29,SQ225,POINT (8.820351643878947 46.061182053626055)
30,SQ226,POINT (8.844193121979593 45.93812051857278)
31,SQ227,POINT (8.861315113079193 45.86066566737222)
32,SQ228,POINT (8.85130065319071 45.746043127742475)
33,SQ229,POINT (8.852589723066487 45.65925665724124)
34,SQ230,POINT (8.852042454759943 45.5447584217032)
35,SQ231,POINT (8.852323951281468 45.45399095957356)
36,SQ232,POINT (8.852937015737174 45.37032748438306)
37,SQ233,POINT (8.850255850743967 45.239869386979436)
38,SQ234,POINT (8.847412602209358 45.157686388098604)
39,SQ235,POINT (8.821318678611949 45.06797233891423)
40,SQ253,POINT (8.941729054019289 45.939812929073724)
41,SQ254,POINT (8.938067628686317 45.83561397177086)
