,MUNICIPALITY_NAME,geometry
0,SPESSA,POINT (9.330835 45.1217789)
1,FOMBIO,POINT (9.6899944 45.1284294)
2,PAVIA,POINT (9.1654656 45.1945233)
3,VERRUA PO,POINT (9.1815929 45.1109404)
4,DRESANO,POINT (9.3645965 45.3759658)
5,CERANOVA,POINT (9.2495828 45.2570825)
6,BOLTIERE,POINT (9.579288 45.5986124)
7,SANT'ANGELO LOMELLINA,POINT (8.6445326 45.2394768)
8,CISERANO,POINT (9.5968871 45.5848051)
9,MONTECALVO VERSIGGIA,POINT (9.2732383 44.975216)
10,SECUGNAGO,POINT (9.5964471 45.2308634)
11,ZAVATTARELLO,POINT (9.2796196 44.8650545)
12,LIRIO,POINT (9.2585363 44.9980334)
13,MEZZANA BIGLI,POINT (8.8814635 45.0662315)
14,VOLPARA,POINT (9.3027963 44.9464883)
15,NOSATE,POINT (8.7227995 45.5575583)
16,CESATE,POINT (9.0810343 45.5980854)
17,RIPALTA GUERINA,POINT (9.7047057 45.3066861)
18,ALBAIRATE,POINT (8.94446 45.4244909)
19,MASSALENGO,POINT (9.4937306 45.261075)
20,RICENGO,POINT (9.7386931 45.4078716)
21,CASALETTO LODIGIANO,POINT (9.350214 45.2980826)
22,TORREVECCHIA PIA,POINT (9.2954938 45.2793021)
23,BAGNARIA,POINT (9.1354499 44.8267941)
24,CESANO BOSCONE,POINT (9.0865777 45.4403998)
25,SANTO STEFANO TICINO,POINT (8.9126899 45.4905168)
26,BUCCINASCO,POINT (9.1098896 45.4071142)
27,TORRE DE' NEGRI,POINT (9.3365544 45.1460323)
28,VERNATE,POINT (9.0561849 45.3195963)
29,TRIGOLO,POINT (9.8178852 45.3272032)
30,CORSICO,POINT (9.0975482 45.4348457)
31,BRIGNANO GERA D'ADDA,POINT (9.655011 45.5454777)
32,URAGO D'OGLIO,POINT (9.8787034 45.5208452)
33,BRONI,POINT (9.2453987 45.0747549)
34,GERENZAGO,POINT (9.3659993 45.1971635)
35,BASIANO,POINT (9.4642998 45.5794833)
36,FONTANELLA,POINT (9.8058913 45.452107)
37,GORGONZOLA,POINT (9.4063586 45.5296149)
38,TREVIGLIO,POINT (9.5908598 45.5341327)
39,CANONICA D'ADDA,POINT (9.543845 45.5794473)
40,MELEGNANO,POINT (9.3181257 45.3553179)
41,PIEVE FISSIRAGA,POINT (9.4509568 45.2685503)
42,SAN VITTORE OLONA,POINT (8.9461363 45.5827631)
43,INVERNO E MONTELEONE,POINT (9.3962678 45.1936155)
44,CISLIANO,POINT (8.9905754 45.4408392)
45,SETTALA,POINT (9.3911095 45.4533863)
46,CORTEOLONA E GENZONE,POINT (9.3610353 45.1668071)
47,MADIGNANO,POINT (9.7200292 45.3362226)
48,MONTANASO LOMBARDO,POINT (9.4628741 45.3371232)
49,CAMISANO,POINT (9.7480168 45.4481022)
50,ANTEGNATE,POINT (9.797647 45.486062)
51,LIVRAGA,POINT (9.5465425 45.1873896)
52,CRESPIATICA,POINT (9.5758985 45.3493284)
53,CARUGATE,POINT (9.3441325 45.5509314)
54,QUINTANO,POINT (9.6206234 45.4215667)
55,MARCIGNAGO,POINT (9.0812293 45.2477162)
56,CROTTA D'ADDA,POINT (9.8681088 45.1541335)
57,SENAGO,POINT (9.120674 45.5721904)
58,AGNADELLO,POINT (9.5546963 45.4395009)
59,MILANO,POINT (9.1594985 45.4612932)
60,CAPPELLA CANTONE,POINT (9.8348407 45.2420519)
61,SANTA MARGHERITA DI STAFFORA,POINT (9.2437563 44.7364599)
62,COLTURANO,POINT (9.342464 45.3777118)
63,TORRE BERETTI E CASTELLARO,POINT (8.6834458 45.0756522)
64,NOVATE MILANESE,POINT (9.1398661 45.5319971)
65,GREZZAGO,POINT (9.4950436 45.5908299)
66,CAPONAGO,POINT (9.3763726 45.5650727)
67,ZERBOLO',POINT (9.0185033 45.21558)
68,MARZANO,POINT (9.2875152 45.2472699)
69,CASTELNOVETTO,POINT (8.6285695 45.2489124)
70,PAULLO,POINT (9.4046151 45.4144688)
71,SERGNANO,POINT (9.689783 45.4360232)
72,PALESTRO,POINT (8.5321348 45.2899625)
73,CASTELVISCONTI,POINT (9.9513271 45.300544)
74,TORRAZZA COSTE,POINT (9.0973979 44.9628868)
75,MERLINO,POINT (9.4478646 45.4338415)
76,BASCAPE',POINT (9.3252561 45.2989989)
77,SIZIANO,POINT (9.216336 45.3094937)
78,ROCCAFRANCA,POINT (9.9182845 45.4563089)
79,TORRE D'ARESE,POINT (9.3202616 45.2369511)
80,SAN DONATO MILANESE,POINT (9.2579214 45.4136302)
81,BORGO SAN GIOVANNI,POINT (9.4206748 45.2744752)
82,LONATE POZZOLO,POINT (8.7377722 45.5880051)
83,BARANZATE,POINT (9.1108363 45.5281119)
84,MAGNAGO,POINT (8.8094779 45.5810186)
85,TREZZANO ROSA,POINT (9.4838797 45.5837926)
86,PUMENENGO,POINT (9.8626506 45.4713074)
87,ROMANO DI LOMBARDIA,POINT (9.7593324 45.5230821)
88,GALGAGNANO,POINT (9.4572397 45.3570659)
89,CURA CARPIGNANO,POINT (9.2530755 45.2048496)
90,MAGHERNO,POINT (9.3296885 45.21848)
91,CASTELLO D'AGOGNA,POINT (8.6859324 45.235686)
92,SAN GIORGIO SU LEGNANO,POINT (8.9097156 45.5692604)
93,PONTE NIZZA,POINT (9.1208704 44.8529834)
