MUNICIPALITY_NAME,geometry
AZZONE,POINT (10.1388663 45.9668198)
SPESSA,POINT (9.330835 45.1217789)
FOMBIO,POINT (9.6899944 45.1284294)
PAVIA,POINT (9.1654656 45.1945233)
VERRUA PO,POINT (9.1815929 45.1109404)
SABBIO CHIESE,POINT (10.4379294 45.6451264)
BRANDICO,POINT (10.0425208 45.4528442)
VILLA DI CHIAVENNA,POINT (9.5037176 46.3245091)
CESANO MADERNO,POINT (9.1496276 45.6290132)
GRANTOLA,POINT (8.7844399 45.9452522)
RASURA,POINT (9.5304472 46.0947776)
TRAONA,POINT (9.5353212 46.1611006)
CORTE DE' CORTESI CON CIGNONE,POINT (10.0006274 45.2674677)
BRIENNO,POINT (9.1251123 45.9149839)
DRESANO,POINT (9.3645965 45.3759658)
CERANOVA,POINT (9.2495828 45.2570825)
TERNO D'ISOLA,POINT (9.5268246 45.6853671)
ALBIZZATE,POINT (8.7998439 45.726162)
BOLTIERE,POINT (9.579288 45.5986124)
COMO,POINT (9.0839751 45.8003662)
SANT'ANGELO LOMELLINA,POINT (8.6445326 45.2394768)
GEMONIO,POINT (8.6813924 45.8793904)
GIANICO,POINT (10.2135945 45.8533805)
ACQUANEGRA SUL CHIESE,POINT (10.4635938 45.1566546)
CISERANO,POINT (9.5968871 45.5848051)
BRENTA,POINT (8.6875929 45.9074806)
ENTRATICO,POINT (9.8780658 45.7026606)
DELLO,POINT (10.1017623 45.4188249)
TREMOSINE SUL GARDA,POINT (10.7249063 45.7919299)
MONTECALVO VERSIGGIA,POINT (9.2732383 44.975216)
SECUGNAGO,POINT (9.5964471 45.2308634)
ZAVATTARELLO,POINT (9.2796196 44.8650545)
LIRIO,POINT (9.2585363 44.9980334)
MEZZANA BIGLI,POINT (8.8814635 45.0662315)
CUCCIAGO,POINT (9.0978871 45.737869)
VOLPARA,POINT (9.3027963 44.9464883)
NOSATE,POINT (8.7227995 45.5575583)
CESATE,POINT (9.0810343 45.5980854)
RIPALTA GUERINA,POINT (9.7047057 45.3066861)
ALBAIRATE,POINT (8.94446 45.4244909)
CASALROMANO,POINT (10.3461078 45.1997342)
MOLTENO,POINT (9.3013598 45.7817043)
ARCORE,POINT (9.3223116 45.6272762)
SERMIDE E FELONICA,POINT (11.3202543 44.9846433)
MOIO DE' CALVI,POINT (9.7039441 45.9625676)
BIASSONO,POINT (9.2770579 45.6274329)
VEROLAVECCHIA,POINT (10.0489725 45.314367)
MONNO,POINT (10.316491 46.2423661)
MASSALENGO,POINT (9.4937306 45.261075)
VALBONDIONE,POINT (10.0054535 46.0366083)
BORNO,POINT (10.1708729 45.9566888)
RICENGO,POINT (9.7386931 45.4078716)
DOSOLO,POINT (10.6469172 44.9607565)
POSTALESIO,POINT (9.7782762 46.1885944)
SAN PAOLO D'ARGON,POINT (9.8021056 45.6893657)
COSTA DI MEZZATE,POINT (9.7967662 45.6557758)
LISSONE,POINT (9.2426676 45.6194273)
CASALETTO LODIGIANO,POINT (9.350214 45.2980826)
VALVARRONE,POINT (9.3613718 46.0851252)
VOLTIDO,POINT (10.3362678 45.1100007)
SAN SIRO,POINT (9.2570148 46.0468398)
CAINO,POINT (10.3248164 45.6190165)
LALLIO,POINT (9.6254848 45.6631527)
TORREVECCHIA PIA,POINT (9.2954938 45.2793021)
PASPARDO,POINT (10.3809717 46.0441344)
CASTELLUCCHIO,POINT (10.6311896 45.1495419)
LECCO,POINT (9.4258304 45.8591663)
PRALBOINO,POINT (10.2351532 45.2656277)
BAGNARIA,POINT (9.1354499 44.8267941)
PORTO MANTOVANO,POINT (10.7604741 45.1926431)
ALGUA,POINT (9.73468 45.8176115)
BRESCIA,POINT (10.2236435 45.5353461)
BARDELLO CON MALGESSO E BREGA,POINT (8.6840584 45.8277554)
CESANO BOSCONE,POINT (9.0865777 45.4403998)
CINO,POINT (9.4835047 46.1683853)
SANTO STEFANO TICINO,POINT (8.9126899 45.4905168)
PIANCOGNO,POINT (10.1917835 45.9295053)
CASPOGGIO,POINT (9.871501 46.2529804)
CITTIGLIO,POINT (8.662141 45.9071282)
BONATE SOPRA,POINT (9.5636868 45.6827775)
OLGIATE OLONA,POINT (8.8741093 45.6288826)
