MUNICIPALITY_NAME,points,geometry
SQ0,POINT (8.05 46.95),"POLYGON ((8 46.900000000000006, 8 47, 8.100000000000001 47, 8.100000000000001 46.900000000000006, 8 46.900000000000006))"
SQ1,POINT (8.05 46.85),"POLYGON ((8 46.800000000000004, 8 46.9, 8.100000000000001 46.9, 8.100000000000001 46.800000000000004, 8 46.800000000000004))"
SQ2,POINT (8.05 46.75),"POLYGON ((8 46.7, 8 46.8, 8.100000000000001 46.8, 8.100000000000001 46.7, 8 46.7))"
SQ3,POINT (8.05 46.65),"POLYGON ((8 46.6, 8 46.699999999999996, 8.100000000000001 46.699999999999996, 8.100000000000001 46.6, 8 46.6))"
SQ4,POINT (8.05 46.55),"POLYGON ((8 46.5, 8 46.599999999999994, 8.100000000000001 46.599999999999994, 8.100000000000001 46.5, 8 46.5))"
SQ5,POINT (8.05 46.45),"POLYGON ((8 46.400000000000006, 8 46.5, 8.100000000000001 46.5, 8.100000000000001 46.400000000000006, 8 46.400000000000006))"
SQ6,POINT (8.05 46.35),"POLYGON ((8 46.300000000000004, 8 46.4, 8.100000000000001 46.4, 8.100000000000001 46.300000000000004, 8 46.300000000000004))"
SQ7,POINT (8.05 46.25),"POLYGON ((8 46.2, 8 46.3, 8.100000000000001 46.3, 8.100000000000001 46.2, 8 46.2))"
SQ8,POINT (8.05 46.15),"POLYGON ((8 46.1, 8 46.199999999999996, 8.100000000000001 46.199999999999996, 8.100000000000001 46.1, 8 46.1))"
SQ9,POINT (8.05 46.05),"POLYGON ((8 46, 8 46.099999999999994, 8.100000000000001 46.099999999999994, 8.100000000000001 46, 8 46))"
SQ10,POINT (8.05 45.95),"POLYGON ((8 45.900000000000006, 8 46, 8.100000000000001 46, 8.100000000000001 45.900000000000006, 8 45.900000000000006))"
SQ11,POINT (8.05 45.85),"POLYGON ((8 45.800000000000004, 8 45.9, 8.100000000000001 45.9, 8.100000000000001 45.800000000000004, 8 45.800000000000004))"
SQ12,POINT (8.05 45.75),"POLYGON ((8 45.7, 8 45.8, 8.100000000000001 45.8, 8.100000000000001 45.7, 8 45.7))"
SQ13,POINT (8.05 45.65),"POLYGON ((8 45.6, 8 45.699999999999996, 8.100000000000001 45.699999999999996, 8.100000000000001 45.6, 8 45.6))"
SQ14,POINT (8.05 45.55),"POLYGON ((8 45.5, 8 45.599999999999994, 8.100000000000001 45.599999999999994, 8.100000000000001 45.5, 8 45.5))"
SQ15,POINT (8.05 45.45),"POLYGON ((8 45.400000000000006, 8 45.5, 8.100000000000001 45.5, 8.100000000000001 45.400000000000006, 8 45.400000000000006))"
